company_name,company_tier,source_name,source_url,source_type,source_bucket,source_domain,official_domain,official_domain_confidence,source_quality_score,is_official_hint,structure_hint,discovery_method,verification_status,failure_count,last_success_at,last_active_job_count,quarantine_reason,is_quarantined
씨케이솔루션,중견/중소,씨케이솔루션 공식 채용,https://cksolution.co.kr/recruitment/talent,html_page,approved,cksolution.co.kr,cksolution.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
씨케이솔루션,중견/중소,씨케이솔루션 공식 채용,https://cksolution.co.kr/recruitment/recruitment-inform,html_page,approved,cksolution.co.kr,cksolution.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
아이즈비전,중견/중소,아이즈비전 공식 채용,https://eyesvision.com/employ/employment,html_page,approved,eyesvision.com,eyesvision.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
아이시프트,중견/중소,아이시프트 공식 채용,https://www.ishift.co.kr/career,html_page,approved,www.ishift.co.kr,ishift.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
아진엑스텍,중견/중소,아진엑스텍 공식 채용,https://ajinextek.com/kr/career/recruit.php,html_page,approved,ajinextek.com,ajinextek.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
아이티아이즈,중견/중소,아이티아이즈 공식 채용,https://www.iteyes.co.kr/talent,html_page,approved,www.iteyes.co.kr,iteyes.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
아이피아,중견/중소,아이피아 공식 채용,https://www.aipia.co.kr/recruitment,html_page,approved,www.aipia.co.kr,aipia.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
알트,중견/중소,알트 공식 채용,https://altech.kr/kr/recruit/recruit.php,html_page,approved,altech.kr,altech.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
알서포트 주식회사,중견/중소,알서포트 주식회사 공식 채용,https://www.rsupport.com/ko-kr/career/talent,html_page,approved,www.rsupport.com,rsupport.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
알서포트 주식회사,중견/중소,알서포트 주식회사 공식 채용,https://www.rsupport.com/ko-kr/career/roles,html_page,approved,www.rsupport.com,rsupport.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
알서포트 주식회사,중견/중소,알서포트 주식회사 공식 채용,https://www.rsupport.com/ko-kr/career/recruit,html_page,approved,www.rsupport.com,rsupport.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
액토즈소프트,중견/중소,액토즈소프트 공식 채용,https://www.actoz.com/recruit/korean,html_page,approved,www.actoz.com,actoz.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
액토즈소프트,중견/중소,액토즈소프트 공식 채용,https://www.actoz.com/recruit/careers/korean,html_page,approved,www.actoz.com,actoz.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
