company_name,company_tier,source_name,source_url,source_type,source_bucket,source_domain,official_domain,official_domain_confidence,source_quality_score,is_official_hint,structure_hint,discovery_method,verification_status,failure_count,last_success_at,last_active_job_count,quarantine_reason,is_quarantined
한국해양조사협회,공공·연구기관,한국해양조사협회 공식 채용,https://khra.kr,html_page,candidate,khra.kr,khra.kr,0.99,0.75,True,html,official_domain_probe,성공,0.0,2026-04-12T16:44:01+09:00,0.0,,False
항공안전기술원,공공·연구기관,항공안전기술원 공식 채용,https://kiast.or.kr/kr/cop/bbs/BBSMSTR_000000000033/selectBoardList.do,html_page,candidate,kiast.or.kr,kiast.or.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T16:44:01+09:00,0.0,,False
한국환경공단,공공·연구기관,한국환경공단 공식 채용,https://www.keco.or.kr/hrd,html_page,candidate,www.keco.or.kr,keco.or.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T16:44:01+09:00,0.0,,False
한국환경공단,공공·연구기관,한국환경공단 공식 채용,https://keco.or.kr/web/lay1/program/S1T217C221/poll/joinForm.do,html_page,candidate,keco.or.kr,keco.or.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T16:44:01+09:00,0.0,,False
한국환경공단,공공·연구기관,한국환경공단 공식 채용,https://keco.or.kr/web/lay1/bbs/S1T265C1502/A/313/list.do,html_page,candidate,keco.or.kr,keco.or.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T16:44:01+09:00,0.0,,False
한국산업기술기획평가원,공공·연구기관,한국산업기술기획평가원 공식 채용,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmListView.do,html_page,candidate,srome.keit.re.kr,keit.re.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T16:44:01+09:00,0.0,,False
한국토지주택공사,공공·연구기관,한국토지주택공사 공식 채용,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancList.do,html_page,candidate,apply.lh.or.kr,lh.or.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T16:44:01+09:00,0.0,,False
SK,대기업,SK 공식 채용,https://sk-inc.com/kr/search/searchResult.aspx,html_page,candidate,sk-inc.com,sk-inc.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
가온전선,대기업,가온전선 공식 채용,https://gaoncable.com/company/ehright,html_page,candidate,gaoncable.com,gaoncable.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
네이버,대기업,네이버 공식 채용,https://recruit.navercorp.com,html_page,candidate,recruit.navercorp.com,recruit.navercorp.com,0.99,0.75,True,html,official_domain_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
