company_name,company_tier,official_domain,company_name_en,region,aliases,discovery_method,candidate_seed_type,candidate_seed_url,candidate_seed_title,candidate_seed_reason
벌스워크,스타트업,,,대한민국,[],manual_seed_import,MSS_BABY_UNICORN_2023,https://www.mss.go.kr/common/board/Download.do?bcIdx=1042145&cbIdx=197&streFileNm=a44ba7a3-17ac-4097-a781-6a859204f63c.pdf,MSS 2023 Baby Unicorn official selected companies,중소벤처기업부 2023 아기유니콘 선정기업 공식 보도자료 기반 bounded 확장
브이에스팜텍,스타트업,,,대한민국,[],manual_seed_import,MSS_BABY_UNICORN_2023,https://www.mss.go.kr/common/board/Download.do?bcIdx=1042145&cbIdx=197&streFileNm=a44ba7a3-17ac-4097-a781-6a859204f63c.pdf,MSS 2023 Baby Unicorn official selected companies,중소벤처기업부 2023 아기유니콘 선정기업 공식 보도자료 기반 bounded 확장
비주얼허,스타트업,,,대한민국,[],manual_seed_import,MSS_BABY_UNICORN_2023,https://www.mss.go.kr/common/board/Download.do?bcIdx=1042145&cbIdx=197&streFileNm=a44ba7a3-17ac-4097-a781-6a859204f63c.pdf,MSS 2023 Baby Unicorn official selected companies,중소벤처기업부 2023 아기유니콘 선정기업 공식 보도자료 기반 bounded 확장
셀라퓨틱스바이오,스타트업,,,대한민국,[],manual_seed_import,MSS_BABY_UNICORN_2023,https://www.mss.go.kr/common/board/Download.do?bcIdx=1042145&cbIdx=197&streFileNm=a44ba7a3-17ac-4097-a781-6a859204f63c.pdf,MSS 2023 Baby Unicorn official selected companies,중소벤처기업부 2023 아기유니콘 선정기업 공식 보도자료 기반 bounded 확장
쉐어잇,스타트업,,,대한민국,[],manual_seed_import,MSS_BABY_UNICORN_2023,https://www.mss.go.kr/common/board/Download.do?bcIdx=1042145&cbIdx=197&streFileNm=a44ba7a3-17ac-4097-a781-6a859204f63c.pdf,MSS 2023 Baby Unicorn official selected companies,중소벤처기업부 2023 아기유니콘 선정기업 공식 보도자료 기반 bounded 확장
슈파스,스타트업,,,대한민국,[],manual_seed_import,MSS_BABY_UNICORN_2023,https://www.mss.go.kr/common/board/Download.do?bcIdx=1042145&cbIdx=197&streFileNm=a44ba7a3-17ac-4097-a781-6a859204f63c.pdf,MSS 2023 Baby Unicorn official selected companies,중소벤처기업부 2023 아기유니콘 선정기업 공식 보도자료 기반 bounded 확장
스누아이랩,스타트업,,,대한민국,[],manual_seed_import,MSS_BABY_UNICORN_2023,https://www.mss.go.kr/common/board/Download.do?bcIdx=1042145&cbIdx=197&streFileNm=a44ba7a3-17ac-4097-a781-6a859204f63c.pdf,MSS 2023 Baby Unicorn official selected companies,중소벤처기업부 2023 아기유니콘 선정기업 공식 보도자료 기반 bounded 확장
씨에스아이엠,스타트업,,,대한민국,[],manual_seed_import,MSS_BABY_UNICORN_2023,https://www.mss.go.kr/common/board/Download.do?bcIdx=1042145&cbIdx=197&streFileNm=a44ba7a3-17ac-4097-a781-6a859204f63c.pdf,MSS 2023 Baby Unicorn official selected companies,중소벤처기업부 2023 아기유니콘 선정기업 공식 보도자료 기반 bounded 확장
아이네블루메,스타트업,,,대한민국,[],manual_seed_import,MSS_BABY_UNICORN_2023,https://www.mss.go.kr/common/board/Download.do?bcIdx=1042145&cbIdx=197&streFileNm=a44ba7a3-17ac-4097-a781-6a859204f63c.pdf,MSS 2023 Baby Unicorn official selected companies,중소벤처기업부 2023 아기유니콘 선정기업 공식 보도자료 기반 bounded 확장
아토플렉스,스타트업,,,대한민국,[],manual_seed_import,MSS_BABY_UNICORN_2023,https://www.mss.go.kr/common/board/Download.do?bcIdx=1042145&cbIdx=197&streFileNm=a44ba7a3-17ac-4097-a781-6a859204f63c.pdf,MSS 2023 Baby Unicorn official selected companies,중소벤처기업부 2023 아기유니콘 선정기업 공식 보도자료 기반 bounded 확장
